"type","scientificName","scientificNameAuthorship","order","mimicryReference","mimicryNotes","dorsalAccuracyMorphometric","lateralAccuracyMorphometric","dorsalAccuracyMachineLearning","lateralAccuracyMachineLearning","bodylength"
"mimetic spider","Myrmarachne macleayana","(Bradley, 1876)","Araneae","Pekar et al., 2017b",,-0.0814243577448796,-0.39466396212626,0.857973376909892,0.892549862464269,4.3125
"model","Myrmecia mandibularis","(Smith, 1858)","Hymenoptera",,,1.69400007922638,,0.958674311637878,,9.85
"model","Notoncus sp1","","Hymenoptera",,,,1.34879255170791,,0.382163524627686,3.99411764705882
"non-mimic","Nyssus coloripes","(Walckenaer, 1805)","Araneae",,,-0.510496146923779,-0.923796984004077,0.181751628716787,0.689583480358124,6.875
"model","Odontomachus sp1","","Hymenoptera",,,1.61314338867658,,0.871882140636444,,9.4
"model","Oecophylla smaragdina","(Fabricius, 1775)","Hymenoptera",,,1.96659808485182,0.658100071159526,0.814827561378479,0.862656772136688,8.125
"model","Opisthopsis sp1","","Hymenoptera",,,1.38473487412613,2.75826579452852,0.680742800235748,0,3.96666666666667
"non-mimic","Oxyopes elegans","(L. Koch, 1878)","Araneae",,,-0.900006713937234,-1.47463700638108,0,0,5.25
"mimetic spider","Poecilipta kohouti","(Raven, 2015)","Araneae","Raven, 2015",,-0.427712510417776,-0.566222709822778,,,4.51428571428571
"mimetic spider","Poecilipta sp1","","Araneae","Raven, 2015",,-0.277565524678682,-0.573451811248961,0.264274686574936,0.726555913686752,5
"model","Polyrhachis ammon","(Fabricius, 1775)","Hymenoptera",,,1.59709627285672,1.85998227156922,0.8285986383756,0.549221277236938,6.24285714285714
"model","Polyrhachis monteithi","(Kohout, 2006)","Hymenoptera",,,2.55790785984588,1.02352909361084,0.961453318595886,0.956489771604538,6.95
"model","Polyrhachis sp1","","Hymenoptera",,,0.486640008747768,1.80041083694278,0.919267892837524,0.94005298614502,5.8875
"model","Polyrhachis sp2","","Hymenoptera",,,1.7986334510551,1.53810329730185,0.887286603450775,0.968436062335968,7.02857142857143
"model","Polyrhachis sp4","","Hymenoptera",,,,1.20418157554521,,0.870590070883433,8.4
"mimetic insect","Reduviid1 sp1","","Hemiptera","Pers. obs.","Nymphs are very ant-like",0.652907478990863,0.304194520841801,0.612123310565948,0.875862643122673,2.8
"mimetic spider","Rhombonotus gracilis","(Koch L., 1879)","Araneae","Davies and Zabka, 1989",,-0.0382983101629162,-0.440269117364935,0.792797762155533,0.872878843545914,2.77
"non-mimic","Rhombonotus sp1","","Araneae",,,-0.454880375343303,,,,2.8
"model","Rhytidoponera metallica","(Smith, 1858)","Hymenoptera",,,1.54075863688641,1.4714210405716,0.957316726446152,0.743299603462219,6.09761904761905
"mimetic insect","Riptortus abdominalis","(Westwood, 1842)","Hemiptera","McIver and Stonedahl, 1993","Only juveniles are mimetic",-0.291930912074298,-0.512136303782004,0.810185823589563,0.823866724967957,8.01666666666667
"non-mimic","Riptortus abdominalis","(Westwood, 1842)","Hemiptera",,,-0.621044676847391,-0.946326711234049,0,0,14.4
"mimetic spider","Salticid17 sp1","","Araneae","Pers. obs.","Probably a juvenile Ligonipes ",-0.517442718776182,-0.563286743855402,0.259225159883499,0.755296071370443,2.5
"non-mimic","Salticid18 sp1","","Araneae",,,-0.97258999761072,-1.03553090780917,0,0,2.3
"non-mimic","Salticid5 sp1","","Araneae",,,-0.909130969548263,,0,,7.2
"non-mimic","Salticid7 sp1","","Araneae",,,-0.835005735488135,,0,,5.9
"non-mimic","Servaea incana","(L. Keyserling, 1878)","Araneae",,,-0.787598080295074,,0,,7.30833333333333
"model","Sphinctomyrmex sp1","","Hymenoptera",,,0.722844512309512,,0,,4.53333333333333
"model","Stigmacros sp1","","Hymenoptera",,,,0.420876495393766,,0.608481466770172,1.9
"non-mimic","Storena mainae","(Jocqu√© & Baehr, 1995)","Araneae",,,-0.424506650224701,,,,11.75
"non-mimic","Tamopsis fickerti","(L. Koch, 1876)","Araneae",,,-1.2448272260457,,0,,6.85
"model","Tapinoma sp1","","Hymenoptera",,,,1.5614349341251,,0.304345905780792,2.00526315789474
"non-mimic","Thomisid1 sp1","","Araneae",,,-1.35564930317665,,0,,3.4
"mimetic spider","Tinytrema bondi","(Platnick, 2002)","Araneae","Platnick, 2002",,0.165512453631637,,,,3.4
"mimetic insect","Vespoidea2 sp1","","Hymenoptera","Pers. obs.",,0.46179704603192,,0,,3
"mimetic insect","Vespoidea3 sp1","","Hymenoptera","Pers. obs.","Mistakenly collected as an ant",0.335326703799259,-0.514782944979041,0.625799715518951,0,3.7
"mimetic insect","Vespoidea3 sp3","","Hymenoptera","Pers. obs.",,-0.349809193945189,,0,,3.6
"non-mimic","Vespoidea4 sp1","","Hymenoptera",,,-1.0811461076848,-0.233555448744689,0.913860559463501,0.855991164843241,4.53333333333333
"mimetic insect","Vespoidea5 sp1","","Hymenoptera","Pers. obs.","Possibly part of the golden mimicry complex (Pek·r et al., 2017)",-0.473437004977129,-0.00331608333726464,0.742816105484962,0.849612335364024,6.225
"mimetic insect","Vespoidea6 sp1","","Hymenoptera","Pers. obs.",,0.163868145513577,-0.184368569649984,0.897637039422989,0.92426061630249,5.3
"non-mimic","Zillimata scintillans","(Cambridge, 1869)","Araneae",,,-0.397730182256707,,,,6
"mimetic spider","Zodarid4 sp1","","Araneae","Whyte and Anderson, 2017",,-0.944319531904435,-0.794747153459834,0.0930526951948802,0.33137708902359,2
