Included in dataset,Reason for non-inclusion,Myrmecomorphy?,Imperfect mimicry?,Mimic taxon,Mimic order,Mimic class,Model taxon,Model order,Model class,Common rank,Operator,Title,Authors,Corporate Authors,Editors,Book Editors,Source Title,Publication Date,Publication Year,Volume,Issue,Part Number,Supplement,Special Issue,Beginning Page,Ending Page,Article Number,DOI,Conference Title,Conference Date,Total Citations,Average per Year
no,Theoretical,,yes,Syrphidae,Diptera,Insecta,"wasp, ant",Hymenoptera,Insecta,Class (Insecta),Predator,Why are there good and poor mimics?,"Edmunds, M",,,,BIOLOGICAL JOURNAL OF THE LINNEAN SOCIETY,Jul-00,2000,70,3,,,,459,466,,,,,100,5.56
no,Not about mimicry,,,,,,,,,,,The anti-bat strategy of ultrasound absorption: the wings of nocturnal moths (Bombycoidea: Saturniidae) absorb more ultrasound than the wings of diurnal moths (Chalcosiinae: Zygaenoidea: Zygaenidae),"Ntelezos, Athanasios; Guarato, Francesco; Windmill, James F. C.",,,,BIOLOGY OPEN,JAN 15 2017,2017,6,1,,,,109,117,,10.1242/bio.021782,,,0,0
no,Not about mimicry,,,,,,,,,,,Entomological reactions to Darwin's theory in the nineteenth century,"Kritsky, Gene",,,,ANNUAL REVIEW OF ENTOMOLOGY,2008,2008,53,,,,,345,360,,10.1146/annurev.ento.53.103106.093436,,,5,0.5
no,Theoretical,,,,,,,,,,,SENSORY DISCRIMINATION AND THE INCIPIENT ADVANTAGE OF MUTATIONS,"GENONI, GP",,,,JOURNAL OF THEORETICAL BIOLOGY,OCT 7 1988,1988,134,3,,,,327,329,,10.1016/S0022-5193(88)80063-8,,,0,0
yes,,yes,,"Micaria pulicaria, Arboricaria subopaca, Phrurolithus festivus, Synageles venator, Leptorchestes berolinensis, Zodarion germanicum, Myrmarachne luctuosa",Araneae,Arachnida,"Lasius niger, Camponotus vagus, Formica cinerea, Camponotus aeneopilosus, Polyrhachis vermiculosa, Polyrhachis ammon",Hymenoptera,Insecta,Phylum (Arthropoda),"Predator/bird, wasp",The role of ultraviolet colour in the assessment of mimetic accuracy between Batesian mimics and their models: a case study using ant-mimicking spiders,"Corcobado, Guadalupe; Herberstein, Marie E.; Pekar, Stano",,,,SCIENCE OF NATURE,Dec-16,2016,103,11-Dec,,,,,,90,10.1007/s00114-016-1410-z,,,0,0
yes,,,yes,Syrphidae,Diptera,Insecta,Hymenoptera,Hymenoptera,Insecta,Class (Insecta),Predator/bird,A bee or not a bee: an experimental test of acoustic mimicry by hoverflies,"Moore, Christopher D.; Hassall, Christopher",,,,BEHAVIORAL ECOLOGY,NOV-DEC 2016,2016,27,6,,,,1767,1774,,10.1093/beheco/arw107,,,0,0
yes,,,,Sonora semiannulata,Squamata,Reptilia,"Microroides euryxanthus, Micrurus tener",Squamata,Reptilia,Order (Squamata),Predator,Spatial and Temporal Drivers of Phenotypic Diversity in Polymorphic Snakes,"Cox, Christian L.; Rabosky, Alison R. Davis",,,,AMERICAN NATURALIST,Aug-13,2013,182,2,,,,E40,E57,,10.1086/670988,,,14,2.8
yes,,,yes,"Vespula, Syrphidae","Hymenoptera, Diptera",Insecta,Hymenoptera,Hymenoptera,Insecta,Class (Insecta),Predator,The relationship between mimetic imperfection and phenotypic variation in insect colour patterns,"Holloway, G; Gilbert, F; Brandt, A",,,,PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,FEB 22 2002,2002,269,1489,,,,411,416,,10.1098/rspb.2001.1885,,,13,0.81
yes,,,,Plagiotremus rhinorhynchos,Perciformes,Actinopterygii,Labroides dimidiatus,Perciformes,Actinopterygii,Order (Perciformes),Predator/fish,A protective function for aggressive mimicry?,"Cote, Isabelle M.; Cheney, Karen L.",,,,PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,OCT 7 2007,2007,274,1624,,,,2445,2448,,10.1098/rspb.2007.0797,,,11,1
no,Can't locate article,,,,,,,,,,,"A reassessment of the mimicry relationship among viceroys, queens, and monarchs in Florida","Ritland, David B.; Brower, Lincoln P.",,,,Natural History Museum of Los Angeles County Science Series,1993,1993,0,38,,,,129,139,,,,,0,0
