"catalogNumber","type","order","scientificName","scientificNameAuthorship","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","elevation","locationRemarks","time","day","month","year","bodylength","accuracy","maximum.speed.bodylength","mean.speed.bodylength","speed.CV","moving.duration.mean","moving.duration.CV","stopped.duration.mean","stopped.duration.CV","proportion.time.moving","straightness","sinuosity","E.max","first.minimum.C","first.minimum.delta.s"
958,"model","Hymenoptera","Polyrhachis sp3","",-33.7970972222222,151.135191666667,5,45.17316017,"Blenheim Park, North Ryde, NSW","09:17",25,7,2017,5.8,-1.25497017960183,10.9029168771602,8.0002249275483,0.255941603448987,5.98333333333333,1.26451964769293,0.4,0,0.967654986522911,0.844564010073358,0.127569815686355,417.567318162456,0.546410139165076,26.2
950,"model","Hymenoptera","Rhytidoponera metallica","(Smith, 1858)",-33.773383,151.115996,,64.83520599,"MQ campus, Sydney, NSW","15:52",11,7,2017,4.4,0.337331201177974,5.77413455891387,1.94034016957927,0.32170540197353,0.415929203539823,1.16678935324956,0.49672619047619,2.08362870728805,0.444374409076584,0.495167459443843,0.921818488932268,7177.18012220051,0.0759752789082828,15.5
954,"model","Hymenoptera","Rhytidoponera sp1","",-33.7703111111111,151.112180555556,20,50,"MQ campus, Sydney, NSW","15:00",24,7,2017,4.3,-2.01786663948091,3.5853379256742,2.69846034358555,0.152064217441104,10.6416666666667,1.62498268521173,8.85555555555556,1.66377450469437,0.615421686746988,0.988149282189696,0.0877296211652438,68707.5576664983,0.979205677458653,10.9
641,"mimetic spider","Araneae","Eilica sp1","",-33.6289722222222,150.766494444444,10,20.52673267,"UWS Richmond, NSW","10:47",12,5,2017,3.9,-2.71166831593356,55.1113855108651,48.4248128508365,0.116964853435116,2.2,0,0,0,1,0.977870575989874,0.0430593053934424,1261776.47481731,0.96066749587114,12.7
641,"mimetic spider","Araneae","Eilica sp1","",-33.6289722222222,150.766494444444,10,20.52673267,"UWS Richmond, NSW","10:47",12,5,2017,3.9,-3.33439379396829,10.8689917331554,6.304735255125,0.402787584051565,0.523809523809524,0.554821093940192,0.198333333333333,1.18399690251396,0.734966592427617,0.98049072562024,0.210654752454706,665.429873145745,0.937572377403701,5.3
641,"mimetic spider","Araneae","Eilica sp1","",-33.6289722222222,150.766494444444,10,20.52673267,"UWS Richmond, NSW","10:47",12,5,2017,3.9,-2.67007460319524,73.9876519635699,41.6696166031286,0.726544470117446,0.633333333333333,0,0,0,0.463414634146341,0.921314231005969,0.340699191533577,64.3502901508905,,
951,"mimetic spider","Araneae","Iridonyssus kohouti","(Raven, 2015)",-33.773383,151.115996,,64.83520599,"MQ campus, Sydney, NSW","15:52",11,7,2017,2.8,-3.23569371258589,11.5869659596681,4.97600304190048,0.393524744801878,1.82029909613804,1.00347864040671,0.214070261932564,0.801399236188794,0.899505766062603,0.975735277832188,0.138520150331355,229703.478662214,0.951938589510746,11.4
895,"mimetic spider","Araneae","Judalana lutea","(Rix, 1999)",-23.4017555555556,150.492036111111,10,6.075439592,"Rockhampton Botanic Gardens, Qld","12:03",21,6,2017,4.5,-2.34135283569803,18.455825071494,6.56946487186801,0.515623669552176,0.922916666666668,1.58865680368679,5.72666666666667,3.00249652487493,0.146688741721854,0.784166987697206,0.411216429867911,174299.034106389,0.680843920335379,4.5
762,"mimetic spider","Araneae","Myrmarachne erythrocephala","(Koch, 1879)",-33.6264305555556,150.76595,200,7.974974975,"UWS Richmond, NSW","12:43",23,5,2017,4.2,-2.25327987263467,9.85319262027204,5.98720212583251,0.314339873160843,9.78333333333333,0.0120461121156139,0.0999999999999996,0,0.994915254237288,0.954441659634901,0.108010491447235,1478852.43445774,0.911363696011883,4.5
762,"mimetic spider","Araneae","Myrmarachne erythrocephala","(Koch, 1879)",-33.6264305555556,150.76595,200,7.974974975,"UWS Richmond, NSW","12:43",23,5,2017,4.2,-1.8303215939243,10.8198544164353,5.56613924540348,0.362272433547385,5.43333333333333,0.746115857623568,0.2,1.30170827931777,0.973134328358209,0.908484115897961,0.203546205493559,2777928.69792541,0.755474933740234,5.3
